Longitud,Latitud,Valor
-71.20920,-32.89580,310.50000
-70.35530,-32.92280,423.80000
-70.81780,-32.93190,216.80000
-70.80640,-32.94720,283.30000
-70.75360,-32.94750,261.10000
-71.34500,-32.95780,371.50000
-70.99330,-33.00530,501.50000
-70.90810,-33.01940,342.20000
-71.58330,-33.05030,425.90000
-71.10000,-33.05060,411.10000
-70.76860,-33.07580,176.30000
-70.80170,-33.08560,195.00000
-70.92780,-33.08690,304.70000
-71.21440,-33.09860,468.30000
-71.55530,-33.14500,632.90000
-71.34280,-33.15420,364.80000
-71.14670,-33.16860,561.00000
-71.29140,-33.28970,367.70000
-71.41310,-33.32780,331.00000
-70.52860,-33.32920,413.00000
-70.36360,-33.34140,190.70000
-70.36360,-33.34140,403.20000
-70.45080,-33.37030,265.30000
-70.39610,-33.37330,190.30000
-70.53670,-33.39500,338.70000
-70.53440,-33.43280,349.60000
-71.02560,-33.43860,302.30000
-71.45060,-33.43940,326.20000
-70.64440,-33.44860,262.50000
-71.28110,-33.47970,330.30000
-70.13420,-33.49000,119.90000
-70.81670,-33.49610,171.80000
-70.51640,-33.49640,374.30000
-70.51440,-33.50170,243.40000
-70.26170,-33.53110,332.10000
-70.81670,-33.55030,256.20000
-71.10610,-33.56970,284.10000
-71.62500,-33.57470,358.50000
-70.48530,-33.59140,516.30000
-70.37920,-33.59390,233.40000
-71.51060,-33.63440,376.10000
-70.35310,-33.63610,455.60000
-71.33720,-33.66140,258.20000
-70.58690,-33.67360,379.30000
-70.08860,-33.67670,465.50000
-71.19970,-33.68030,355.40000
-70.92360,-33.69580,333.70000
-70.33420,-33.70670,455.60000
-71.55500,-33.72190,180.50000
-70.30080,-33.73470,274.90000
-71.15140,-33.75970,398.40000
-70.23940,-33.78250,530.20000
-70.87830,-33.80440,355.10000
-70.20890,-33.80560,284.40000
-70.21720,-33.81640,656.20000
-71.66310,-33.86220,396.60000
-70.87750,-33.88580,457.70000
-71.24080,-33.89080,419.50000
-70.19810,-33.89940,652.10000
-71.73360,-33.94580,491.60000
-71.09440,-34.03500,424.50000
-70.70830,-34.05560,541.00000
-71.18860,-34.08330,418.80000
-71.10000,-34.11670,574.40000
-71.72580,-34.12060,626.50000
-70.75080,-34.19080,343.40000
-71.27640,-34.20330,456.90000
-70.55060,-34.24030,347.20000
-70.32810,-34.24670,657.40000
-70.61530,-34.25830,662.80000
-71.37170,-34.27310,262.00000
-71.40580,-34.28720,475.20000
-71.08000,-34.28750,577.90000
-70.37640,-34.34640,583.10000
-72.00440,-34.38440,424.00000
-70.86670,-34.42170,459.20000
-70.77940,-34.43690,509.10000
-71.05060,-34.45170,543.20000
-70.70940,-34.49220,748.10000
-71.21220,-34.52640,635.30000
-71.76530,-34.57420,493.20000
-70.96860,-34.59830,613.00000
-71.35000,-34.61690,769.40000
-70.82670,-34.71860,427.00000
-70.75190,-34.74280,914.40000
-71.13310,-34.76940,579.40000
-71.41420,-34.78080,687.80000
-71.62890,-34.80560,583.20000
-71.74860,-34.86610,575.80000
-71.03530,-34.91140,666.60000
-71.58560,-34.95140,535.70000
-70.91780,-34.96330,1043.10000
-71.23610,-34.98110,556.60000
-72.01000,-34.98440,515.70000
-70.82060,-34.99610,842.00000
-70.81190,-35.00080,1074.40000
-71.29060,-35.04220,538.10000
-71.61390,-35.09690,458.90000
-70.97470,-35.12420,1119.60000
-71.09780,-35.18330,891.80000
-72.28330,-35.21830,665.00000
-71.98000,-35.24390,670.00000
-71.32390,-35.25780,596.30000
-71.01560,-35.27440,769.50000
-71.52330,-35.30640,568.50000
-71.09830,-35.31310,1020.50000
-72.40890,-35.32420,570.90000
-71.83250,-35.37250,509.30000
-71.78330,-35.40060,592.80000
-72.20830,-35.40690,683.90000
-71.04310,-35.41890,1453.40000
-71.66060,-35.41940,509.50000
-71.61970,-35.43580,509.30000
-71.73330,-35.45250,443.30000
-71.29310,-35.48640,822.20000
-71.31830,-35.49250,726.50000
-72.09140,-35.53890,689.20000
-71.08690,-35.59310,1447.30000
-71.65720,-35.59500,644.00000
-71.76780,-35.61690,465.40000
-71.40220,-35.62420,843.40000
-71.26060,-35.63810,1179.20000
-71.94610,-35.66140,546.70000
-71.07720,-35.70110,1959.30000
-71.11390,-35.70610,1463.10000
-72.18690,-35.78250,541.20000
-71.76640,-35.78560,639.40000
-71.59530,-35.83810,725.70000
-71.06670,-35.85000,1819.80000
-71.11720,-35.86720,1799.70000
-71.01920,-35.88420,1047.40000
-72.37360,-35.89670,767.50000
-71.29810,-35.90860,1102.10000
-71.29580,-35.91060,1317.70000
-71.68420,-35.94780,772.40000
-71.91220,-35.98440,537.00000
-72.08920,-36.05720,582.30000
-71.39080,-36.07580,1252.40000
-71.61560,-36.11280,824.00000
-72.42140,-36.11280,679.10000
-71.82830,-36.18780,754.10000
-71.45690,-36.23030,1084.10000
-72.34280,-36.23530,676.90000
-71.54810,-36.25580,1235.50000
-71.41420,-36.28500,1739.20000
-72.04000,-36.31830,719.30000
-71.64940,-36.35810,1181.80000
-71.62330,-36.37580,663.10000
-72.39440,-36.42140,735.10000
-72.69110,-36.46690,520.70000
-72.68830,-36.47500,723.20000
-72.42830,-36.52750,579.30000
-72.93110,-36.54560,810.50000
-71.52470,-36.58360,1469.10000
-71.52560,-36.58560,983.70000
-72.10030,-36.59670,506.30000
-72.10000,-36.61470,827.60000
-72.12670,-36.63190,817.40000
-72.84890,-36.63640,1152.00000
-72.95030,-36.63940,596.20000
-71.79890,-36.64080,1182.60000
-71.39500,-36.65110,1874.20000
-72.45610,-36.65440,810.00000
-71.32780,-36.65830,1595.70000
-71.29890,-36.67310,1710.20000
-72.57940,-36.70780,720.10000
-72.42390,-36.76220,876.90000
-72.89220,-36.79250,875.40000
-71.66080,-36.80000,1233.00000
-72.93920,-36.81310,963.80000
-71.89440,-36.81890,1190.20000
-73.01640,-36.82030,696.40000
-73.10000,-36.83330,892.10000
-73.06190,-36.83860,659.80000
-71.64250,-36.86860,1666.10000
-71.47920,-36.91080,1617.10000
-71.58140,-36.91750,1858.50000
-71.57560,-36.92440,1216.80000
-71.57560,-36.92470,1856.40000
-72.35280,-36.93190,843.40000
-72.10080,-36.97640,969.30000
-72.94140,-36.98250,573.20000
-71.76500,-37.11140,1424.50000
-72.06690,-37.15280,1103.10000
-72.32420,-37.21190,361.20000
-73.24310,-37.25530,952.00000
-72.71640,-37.27720,854.10000
-71.82280,-37.28060,1303.80000
-71.98360,-37.28360,949.70000
-71.95190,-37.29360,1212.90000
-72.36610,-37.38060,823.60000
-72.32720,-37.45610,572.70000
-73.33690,-37.48330,1104.20000
-73.33170,-37.48500,1507.80000
-73.34420,-37.48780,1052.60000
-72.40830,-37.50220,840.50000
-71.76560,-37.50810,1514.10000
-72.33220,-37.53360,833.30000
-72.31190,-37.54220,465.10000
-72.59030,-37.55030,444.60000
-72.32060,-37.58580,861.70000
-72.27690,-37.59530,876.40000
-71.71360,-37.65110,1604.20000
-72.00580,-37.68500,1168.80000
-71.82360,-37.70920,1030.90000
-71.90170,-37.71060,1099.90000
-72.24360,-37.71470,972.80000
-72.63720,-37.77940,893.60000
-71.86640,-37.77970,1593.60000
-73.39140,-37.79830,954.30000
-73.39220,-37.81310,745.60000
-72.65000,-37.81720,733.00000
-72.96060,-37.82330,1166.40000
-72.21970,-37.83060,1257.70000
-71.98670,-37.88000,1839.10000
-71.59610,-37.91830,2185.40000
-72.42560,-37.95830,1032.70000
-72.43610,-37.96470,689.60000
-71.99720,-37.99720,1616.50000
-73.23000,-38.01860,1081.70000
-73.00670,-38.02140,767.90000
-72.46110,-38.04420,952.20000
-71.43440,-38.05830,1329.30000
-72.11360,-38.10530,1493.10000
-72.90390,-38.16360,804.90000
-71.29890,-38.20080,1347.90000
-71.81060,-38.21560,2291.70000
-72.22890,-38.24610,1086.60000
-72.65360,-38.25610,777.60000
-73.49220,-38.34330,1417.70000
-72.77720,-38.41330,704.60000
-72.37750,-38.42110,908.30000
-72.01060,-38.42500,1084.00000
-72.01060,-38.43030,1002.10000
-71.89610,-38.44750,1144.70000
-71.37420,-38.45360,1056.40000
-71.69920,-38.46310,1627.00000
-72.38670,-38.46420,912.80000
-71.57530,-38.47030,1429.70000
-73.24080,-38.49420,1322.40000
-72.45220,-38.51860,906.90000
-72.84560,-38.60390,752.90000
-72.84780,-38.60810,466.10000
-71.09190,-38.65170,637.40000
-72.23390,-38.66720,1197.60000
-72.00000,-38.68390,1581.00000
-72.50280,-38.68670,689.80000
-72.55580,-38.71280,830.50000
-73.14750,-38.71280,752.20000
-72.59280,-38.72830,914.40000
-72.59000,-38.74250,557.90000
-72.94690,-38.78000,601.30000
-73.39360,-38.78860,835.10000
-71.55000,-38.85060,1491.40000
-72.01250,-38.92690,1313.30000
-72.62060,-38.95530,1178.70000
-72.20060,-38.95860,1454.50000
-72.60830,-38.95920,1118.50000
-72.62640,-38.96670,1185.50000
-72.06670,-39.00060,1409.30000
-73.08280,-39.01440,862.10000
-73.07810,-39.02780,1061.00000
-72.65030,-39.15060,1617.30000
-71.72310,-39.16670,2093.80000
-71.80890,-39.20000,2286.20000
-73.20030,-39.20060,1438.20000
-72.29170,-39.21500,1560.80000
-71.83560,-39.23670,2433.40000
-71.95030,-39.27530,1417.60000
-71.93330,-39.30060,1523.00000
-71.80830,-39.33140,2402.00000
-71.57440,-39.35810,1830.00000
-72.64170,-39.37000,1400.60000
-72.16530,-39.46810,1734.60000
-72.69080,-39.47810,967.40000
-72.23390,-39.48750,1763.00000
-71.54780,-39.51920,2330.70000
-72.15190,-39.54690,1452.50000
-72.89890,-39.55220,1108.90000
-72.00530,-39.57440,1891.60000
-72.74220,-39.70780,1288.00000
-71.85060,-39.72720,1907.50000
-72.45810,-39.77310,1633.10000
-72.90250,-39.80440,1088.70000
-73.25170,-39.81030,1608.00000
-71.98720,-39.81890,2540.30000
-73.17860,-39.85610,1422.40000
-71.88890,-39.87190,2864.30000
-71.88970,-39.87470,2758.10000
-71.72190,-40.02250,1859.20000
-72.61690,-40.06720,1248.00000
-73.16890,-40.16580,1419.50000
-73.43110,-40.19330,2995.00000
-72.14920,-40.21720,1983.70000
-73.08330,-40.26670,548.80000
-73.43330,-40.31420,1304.30000
-72.46920,-40.31720,1337.50000
-73.10690,-40.58830,864.60000
-72.18440,-40.65530,1390.50000
-73.22780,-40.71360,874.60000
-72.44000,-40.72310,1161.20000
-72.68390,-40.77330,1123.10000
-72.68890,-40.78890,922.60000
-73.13720,-40.93670,928.20000
-73.06110,-41.12670,1057.50000
-73.41110,-41.15330,1147.20000
-72.56810,-41.22690,1574.10000
-72.59580,-41.41720,1984.20000
-72.57640,-41.42970,1623.00000
-72.93780,-41.46000,1177.70000
-73.60000,-41.61530,1137.40000
-72.31170,-41.65110,1859.00000
-73.81920,-41.86250,1456.20000
-72.43500,-41.93830,2104.00000
-73.97420,-42.04640,1696.30000
-73.47310,-42.14080,1451.00000
-73.77440,-42.45810,1283.80000
-74.10810,-42.61860,1267.00000
-73.77280,-42.62280,841.20000
-72.71080,-42.91470,1994.80000
-73.61190,-43.10860,1038.30000
-72.43080,-43.17500,2778.00000
